distance,fuel_consumption,CO2_emissions,engine_efficiency,fuel_type_hfo,weather_ordinal,ship_type_Fishing Trawler,ship_type_Oil Service Boat,ship_type_Surfer Boat,ship_type_Tanker Ship,route_Escravos-Lagos,route_Lagos-Apapa,route_Port Harcourt-Lagos,route_Warri-Bonny,month_sin,month_cos,fuel_rate,co2_intensity,distance_squared,efficiency_reciprocal,distance_x_weather,distance_x_efficiency,weather_x_fuel_type,efficiency_deviation
77.81,3197.24,8310.12,79.56,0,0,False,False,False,True,False,True,False,False,1.2246467991473532e-16,-1.0,41.09034828428222,2.599154270558357,6054.3961,1.256913021618904,0.0,61.905636,0,-2.797619047619037
67.04,2312.5,5941.35,87.78,1,2,False,True,False,False,False,False,False,True,0.8660254037844387,-0.4999999999999998,34.49433174224343,2.5692324324324325,4494.361600000001,1.139211665527455,134.08,58.84771200000001,2,4.125640138408301
85.67,2941.9,7550.27,86.48,1,2,False,True,False,False,False,False,False,True,0.4999999999999999,-0.8660254037844387,34.33990895295903,2.566460450729121,7339.3489,1.1563367252543941,171.34,74.087416,2,2.8256401384083034
34.56,504.65,1410.81,79.34,0,2,False,False,True,False,True,False,False,False,-0.4999999999999997,-0.8660254037844388,14.602141203703702,2.795620727236699,1194.3936,1.2603982858583311,69.12,27.419904000000002,0,-3.2177446808510553
107.69,1296.57,3317.65,79.2,0,0,False,False,True,False,True,False,False,False,-0.4999999999999997,-0.8660254037844388,12.039836567926455,2.558789729825617,11597.1361,1.2626262626262625,0.0,85.29048,0,-3.357744680851056
123.87,1285.91,3606.63,74.41,0,1,False,False,True,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,10.381125373375314,2.804729724475274,15343.7769,1.34390538906061,123.87,92.171667,0,-8.147744680851062
345.89,15077.31,45076.05,70.75,0,2,False,False,False,True,True,False,False,False,0.4999999999999999,-0.8660254037844387,43.58989852265171,2.9896612857333307,119639.8921,1.4134275618374559,691.78,244.717175,0,-11.607619047619039
197.7,3234.04,8590.57,84.67,0,2,False,False,True,False,False,True,False,False,0.8660254037844386,0.5000000000000001,16.358320687910975,2.6562967681290273,39085.28999999999,1.1810558639423645,395.4,167.39258999999998,0,2.112255319148943
146.92,5121.13,15049.01,94.16,0,1,False,True,False,False,False,False,True,False,0.4999999999999999,0.8660254037844387,34.85658861965696,2.938611204948908,21585.486399999998,1.0620220900594732,146.92,138.33987199999999,0,10.505640138408296
71.68,2393.51,6506.52,87.42,0,2,False,True,False,False,False,False,True,False,0.8660254037844387,-0.4999999999999998,33.3916015625,2.718401009396242,5138.022400000001,1.1439029970258523,143.36,62.662656000000005,0,3.765640138408301
199.96,4021.1,10911.15,87.14,0,1,True,False,False,False,False,False,True,False,0.8660254037844386,0.5000000000000001,20.109521904380873,2.7134739250453856,39984.0016,1.1475786091347258,199.96,174.245144,0,5.102796208530819
109.14,1860.07,5489.9,75.85,0,0,False,False,True,False,False,False,False,True,0.8660254037844386,0.5000000000000001,17.042972329118562,2.9514480637825455,11911.5396,1.3183915622940015,0.0,82.78268999999999,0,-6.707744680851064
124.49,3699.02,10719.74,82.55,1,1,False,True,False,False,False,False,True,False,1.2246467991473532e-16,-1.0,29.713390633785846,2.8979946039761884,15497.7601,1.2113870381586918,124.49,102.76649499999999,1,-1.1043598615917034
78.33,864.43,2489.25,75.51,0,1,False,False,True,False,False,False,True,False,-0.5000000000000004,0.8660254037844384,11.03574620196604,2.87964323311315,6135.5889,1.3243279035889284,78.33,59.146983000000006,0,-7.0477446808510535
34.39,944.69,2598.62,80.47,0,2,False,True,False,False,True,False,False,False,0.8660254037844386,0.5000000000000001,27.46990404187264,2.7507648011517003,1182.6721,1.2426991425375917,68.78,27.673633,0,-3.1843598615917017
87.18,1384.68,4079.34,88.56,0,2,False,False,True,False,False,False,True,False,-0.8660254037844384,-0.5000000000000004,15.883000688231245,2.946052517549181,7600.352400000002,1.1291779584462511,174.36,77.20660800000002,0,6.002255319148944
401.31,19032.25,55048.07,74.27,0,2,False,False,False,True,False,False,True,False,0.8660254037844387,-0.4999999999999998,47.42530711918467,2.892357445914172,161049.7161,1.3464386697185944,802.62,298.052937,0,-8.087619047619043
193.19,1944.93,4955.1,83.8,0,0,False,False,True,False,False,False,False,True,-0.4999999999999997,-0.8660254037844388,10.067446555204722,2.547700945535315,37322.3761,1.1933174224343677,0.0,161.89321999999999,0,1.2422553191489385
286.01,13420.92,40100.19,77.97,1,0,False,False,False,True,True,False,False,False,0.4999999999999999,0.8660254037844387,46.9246529841614,2.987886821469765,81801.72009999999,1.2825445684237529,0.0,223.001997,0,-4.38761904761904
413.97,18037.62,49624.5,80.29,1,1,False,False,False,True,False,True,False,False,-0.8660254037844384,-0.5000000000000004,43.57228784694543,2.7511667282047187,171371.16090000002,1.2454851164528582,413.97,332.37651300000005,1,-2.067619047619033
195.28,3310.69,9584.45,81.38,0,0,False,False,True,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,16.953553871364196,2.8950007400270037,38134.2784,1.228803145736053,0.0,158.91886399999999,0,-1.1777446808510632
63.33,1904.91,5015.38,75.03,1,2,False,True,False,False,True,False,False,False,1.2246467991473532e-16,-1.0,30.07910942681194,2.6328697943734873,4010.6888999999996,1.332800213248034,126.66,47.516498999999996,2,-8.6243598615917
121.72,3831.8,10048.57,92.94,0,1,False,True,False,False,True,False,False,False,-0.8660254037844384,-0.5000000000000004,31.480446927374302,2.6224150529777126,14815.7584,1.0759629868732516,121.72,113.126568,0,9.285640138408297
193.37,6895.02,19414.13,93.88,1,2,False,False,False,True,False,True,False,False,-0.4999999999999997,-0.8660254037844388,35.657133991829134,2.815674211242317,37391.956900000005,1.0651896037494675,386.74,181.535756,2,11.522380952380956
32.08,1007.7,2863.08,82.55,1,0,False,True,False,False,False,True,False,False,0.4999999999999999,-0.8660254037844387,31.412094763092274,2.8412027389103898,1029.1263999999999,1.2113870381586918,0.0,26.482039999999998,0,-1.1043598615917034
69.74,1801.47,4846.78,86.93,0,1,False,True,False,False,True,False,False,False,1.2246467991473532e-16,-1.0,25.831230283911673,2.6904583479047663,4863.667599999999,1.1503508570113883,69.74,60.624982,0,3.2756401384083063
56.97,2726.68,6889.4,70.06,1,2,False,False,False,True,False,False,False,True,-2.4492935982947064e-16,1.0,47.86168158680007,2.526662461308258,3245.5809,1.4273479874393378,113.94,39.913182,2,-12.297619047619037
310.7,12785.33,36784.5,85.76,1,0,False,False,False,True,False,True,False,False,-0.4999999999999997,-0.8660254037844388,41.150080463469585,2.8770864733252877,96534.48999999999,1.166044776119403,0.0,266.45632,0,3.402380952380966
126.22,4211.08,11335.36,85.1,0,0,False,True,False,False,True,False,False,False,-1.0,-1.8369701987210294e-16,33.36301695452385,2.6917940290851754,15931.4884,1.1750881316098707,0.0,107.41322,0,1.4456401384082938
363.68,12802.55,34976.27,86.87,0,2,False,False,False,True,False,False,True,False,1.0,6.123233995736766e-17,35.202788165420145,2.7319768327403526,132263.1424,1.1511453896627144,727.36,315.92881600000004,0,4.5123809523809655
246.4,11651.89,29877.46,92.15,0,1,False,False,False,True,False,True,False,False,-0.4999999999999997,-0.8660254037844388,47.288514610389605,2.564172850928047,60712.96000000001,1.0851871947911014,246.4,227.05760000000004,0,9.792380952380967
479.8144999999997,20529.1976,56741.81229999998,77.75,0,0,False,False,False,True,False,False,True,False,1.0,6.123233995736766e-17,42.785696555648094,2.763956653620012,230221.95441024975,1.2861736334405145,0.0,373.0557737499998,0,-4.607619047619039
72.27,2171.77,5810.14,84.36,1,2,False,True,False,False,True,False,False,False,-0.8660254037844386,0.5000000000000001,30.05078179050782,2.6753017124281118,5222.952899999999,1.1853959222380275,144.54,60.966972,2,0.7056401384082989
158.07,2584.62,7211.22,81.67,0,2,False,False,True,False,False,False,False,True,-0.4999999999999997,-0.8660254037844388,16.351110267602962,2.790050374910045,24986.1249,1.2244398187829069,316.14,129.095769,0,-0.887744680851057
429.43,17125.78,42988.56,75.28,0,1,False,False,False,True,False,False,False,True,-0.8660254037844386,0.5000000000000001,39.88025987937498,2.5101665442391528,184410.1249,1.3283740701381508,429.43,323.274904,0,-7.077619047619038
178.42,4428.52,11684.43,72.05,0,0,True,False,False,False,False,False,True,False,0.4999999999999999,0.8660254037844387,24.820760004483805,2.6384503174875578,31833.696399999997,1.3879250520471895,0.0,128.55160999999998,0,-9.987203791469184
295.22,14171.09,40731.23,81.96,0,1,False,False,False,True,True,False,False,False,1.2246467991473532e-16,-1.0,48.001795271323076,2.874248205325067,87154.84840000002,1.2201073694485116,295.22,241.962312,0,-0.3976190476190453
144.16,3420.34,8899.12,71.32,1,2,True,False,False,False,True,False,False,False,1.2246467991473532e-16,-1.0,23.72599889012209,2.601823210558015,20782.1056,1.4021312394840157,288.32,102.81491199999999,2,-10.717203791469188
78.78,1513.47,4513.23,90.52,0,1,False,False,True,False,False,False,True,False,-0.5000000000000004,0.8660254037844384,19.211348057882713,2.9820412694007805,6206.2884,1.104728236853734,78.78,71.311656,0,7.962255319148937
192.55,4607.86,11827.04,81.0,1,1,True,False,False,False,False,False,True,False,0.8660254037844387,-0.4999999999999998,23.930719293689947,2.566709926082824,37075.5025,1.2345679012345678,192.55,155.96550000000002,1,-1.0372037914691816
70.3,1663.59,4460.98,74.38,0,2,True,False,False,False,False,False,True,False,-0.8660254037844384,-0.5000000000000004,23.66415362731152,2.681538119368354,4942.089999999999,1.3444474321054047,140.6,52.28913999999999,0,-7.657203791469186
58.81,1499.56,3904.85,91.68,0,2,False,True,False,False,False,False,True,False,-0.4999999999999997,-0.8660254037844388,25.498384628464546,2.6039971725039344,3458.6161,1.0907504363001745,117.62,53.917008,0,8.025640138408306
114.25,2914.95,7814.65,91.73,1,0,False,True,False,False,True,False,False,False,0.8660254037844386,0.5000000000000001,25.513785557986868,2.680886464604882,13053.0625,1.0901558922925978,0.0,104.801525,0,8.075640138408303
185.85,6884.76,17508.55,90.1,1,2,False,False,False,True,False,False,True,False,-0.4999999999999997,-0.8660254037844388,37.04471347861178,2.543087921728571,34540.222499999996,1.109877913429523,371.7,167.45084999999997,2,7.742380952380955
155.75,3907.27,10136.14,76.48,0,1,True,False,False,False,False,False,False,True,0.8660254037844386,0.5000000000000001,25.086805778491172,2.5941744491678334,24258.0625,1.307531380753138,155.75,119.11760000000001,0,-5.557203791469178
453.14,20529.1976,56741.81229999998,70.12,1,2,False,False,False,True,False,False,True,False,0.4999999999999999,0.8660254037844387,45.30431566403319,2.763956653620012,205335.8596,1.426126640045636,906.28,317.74176800000004,2,-12.237619047619035
183.15,3743.91,9542.8,80.83,0,0,True,False,False,False,False,False,True,False,1.2246467991473532e-16,-1.0,20.44176904176904,2.5488860576242485,33543.9225,1.2371644191513052,0.0,148.040145,0,-1.2072037914691833
124.55,3221.29,9405.04,93.48,1,0,False,True,False,False,True,False,False,False,0.8660254037844387,-0.4999999999999998,25.863428342031312,2.919650202248168,15512.7025,1.0697475395806588,0.0,116.42934000000001,0,9.825640138408303
67.77,2230.76,5777.21,83.25,1,1,False,True,False,False,True,False,False,False,0.8660254037844387,-0.4999999999999998,32.91662977718755,2.5897945094945216,4592.772899999999,1.2012012012012012,67.77,56.418524999999995,1,-0.40435986159170056
188.84,2049.82,5911.82,80.93,0,2,False,False,True,False,False,False,False,True,0.4999999999999999,0.8660254037844387,10.854797712349079,2.884067869373896,35660.545600000005,1.2356357345854443,377.68,152.828212,0,-1.6277446808510518
82.64,2670.49,7601.85,86.02,0,1,False,True,False,False,True,False,False,False,-0.4999999999999997,-0.8660254037844388,32.31473862536302,2.846612419443623,6829.3696,1.162520344106022,82.64,71.086928,0,2.3656401384082955
81.6,2353.03,5982.03,76.18,0,0,True,False,False,False,False,True,False,False,-0.8660254037844384,-0.5000000000000004,28.836151960784317,2.542266779429076,6658.5599999999995,1.3126804935678655,0.0,62.16288,0,-5.857203791469175
200.04,6352.0,16584.34,83.03,1,1,False,False,False,True,False,True,False,False,-2.4492935982947064e-16,1.0,31.75364927014597,2.61088476070529,40016.001599999996,1.2043839576056847,200.04,166.093212,1,0.6723809523809621
155.61,4035.01,10876.77,71.13,0,1,True,False,False,False,False,False,False,True,0.4999999999999999,-0.8660254037844387,25.930274403958613,2.6955992674119766,24214.472100000003,1.4058765640376776,155.61,110.685393,0,-10.907203791469186
160.89,4216.46,11326.37,78.4,1,1,True,False,False,False,False,False,False,True,0.4999999999999999,-0.8660254037844387,26.207098017278888,2.68622730916456,25885.592099999994,1.2755102040816326,160.89,126.13776,1,-3.637203791469176
51.93,1013.32,2900.07,70.74,0,2,False,False,True,False,False,False,False,True,0.8660254037844386,0.5000000000000001,19.51319083381475,2.861948841432124,2696.7249,1.4136273678258413,103.86,36.735282,0,-11.817744680851064
381.18,13264.76,36803.83,85.25,1,2,False,False,False,True,False,False,True,False,-2.4492935982947064e-16,1.0,34.79920247652028,2.7745567955997696,145298.1924,1.1730205278592374,762.36,324.95595000000003,2,2.892380952380961
413.22,14730.75,42563.58,91.25,1,1,False,False,False,True,True,False,False,False,-2.4492935982947064e-16,1.0,35.648685930013066,2.88943740135431,170750.76840000003,1.095890410958904,413.22,377.06325000000004,1,8.892380952380961
434.8,13682.6,39574.56,78.4,0,1,False,False,False,True,False,True,False,False,0.4999999999999999,0.8660254037844387,31.468721251149955,2.8923274816189903,189051.04,1.2755102040816326,434.8,340.88320000000004,0,-3.9576190476190334
320.47,11490.16,31076.91,81.36,1,0,False,False,False,True,False,True,False,False,-0.4999999999999997,-0.8660254037844388,35.854089306331325,2.704654243282948,102701.02090000002,1.2291052114060963,0.0,260.734392,0,-0.9976190476190396
132.29,2716.79,7866.08,90.86,0,1,True,False,False,False,True,False,False,False,0.4999999999999999,0.8660254037844387,20.53662408345302,2.895358124845866,17500.644099999998,1.100594320933304,132.29,120.19869399999999,0,8.822796208530818
77.51,2841.99,7692.62,71.44,1,1,False,False,False,True,False,False,True,False,-0.8660254037844384,-0.5000000000000004,36.666107599019476,2.706772367249709,6007.8001,1.3997760358342666,77.51,55.373143999999996,1,-10.917619047619041
46.21,644.66,1764.81,74.71,0,0,False,False,True,False,False,False,True,False,-0.8660254037844384,-0.5000000000000004,13.950660030296472,2.7375826016815066,2135.3641000000002,1.3385089010841922,0.0,34.523491,0,-7.847744680851065
58.95,734.45,1960.81,75.07,0,2,False,False,True,False,False,True,False,False,0.8660254037844386,0.5000000000000001,12.458863443596268,2.6697664919327386,3475.1025000000004,1.332090049287332,117.9,44.253764999999994,0,-7.4877446808510655
211.33,7371.42,19745.66,92.05,1,1,False,False,False,True,False,True,False,False,-2.4492935982947064e-16,1.0,34.881086452467706,2.678677920943319,44660.36890000001,1.0863661053775122,211.33,194.529265,1,9.692380952380958
44.58,1370.41,3749.05,76.26,1,1,False,True,False,False,True,False,False,False,-0.8660254037844386,0.5000000000000001,30.740466576940335,2.735714129348151,1987.3763999999999,1.3113034356150013,44.58,33.996708,1,-7.3943598615916954
102.82,3252.44,8815.9,78.2,1,2,False,True,False,False,False,True,False,False,0.8660254037844387,-0.4999999999999998,31.632367243726904,2.710549618132848,10571.952399999998,1.278772378516624,205.64,80.40523999999999,2,-5.454359861591698
133.48,4108.29,11145.18,80.55,1,2,False,True,False,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,30.77831884926581,2.7128513323061423,17816.910399999997,1.2414649286157666,266.96,107.51813999999999,2,-3.1043598615917034
131.34,2094.87,5529.58,82.34,0,1,False,False,True,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,15.949977158519872,2.63958145374176,17250.1956,1.2144765606023804,131.34,108.145356,0,-0.21774468085105525
66.88,1614.5,4210.33,73.91,0,0,True,False,False,False,False,True,False,False,-0.8660254037844386,0.5000000000000001,24.14025119617225,2.6078228553731804,4472.934399999999,1.3529968881071575,0.0,49.431008,0,-8.127203791469185
165.79,2852.27,7218.59,93.2,0,2,False,False,True,False,False,False,True,False,0.8660254037844386,0.5000000000000001,17.204113637734483,2.530822818316639,27486.324099999998,1.0729613733905579,331.58,154.51628,0,10.642255319148944
22.6155,665.79,1771.04,93.46,0,2,False,True,False,False,False,False,True,False,0.8660254037844386,0.5000000000000001,29.43954367579757,2.660057976238754,511.46084025000005,1.0699764605178685,45.231,21.1364463,0,9.805640138408293
132.26,3779.77,10625.76,92.14,1,2,False,True,False,False,False,False,False,True,0.4999999999999999,0.8660254037844387,28.57833056101618,2.8112186720356003,17492.707599999998,1.085304970696766,264.52,121.864364,2,8.4856401384083
73.51,1332.75,3409.08,70.88,0,2,False,False,True,False,True,False,False,False,-0.8660254037844386,0.5000000000000001,18.130186369201468,2.5579290939786157,5403.7201000000005,1.4108352144469527,147.02,52.103888000000005,0,-11.677744680851063
195.05,6077.71,15658.75,78.62,1,2,False,False,False,True,False,True,False,False,-0.8660254037844386,0.5000000000000001,31.159753909254036,2.5764226986809176,38044.5025,1.271940981938438,390.1,153.34831,2,-3.7376190476190345
286.38,12557.11,35528.1,85.74,1,1,False,False,False,True,False,True,False,False,-0.8660254037844386,0.5000000000000001,43.8477198128361,2.829321396404109,82013.50439999999,1.166316771635176,286.38,245.54221199999998,1,3.382380952380956
183.82,6757.4,18471.1,92.11,0,0,False,False,False,True,True,False,False,False,0.4999999999999999,-0.8660254037844387,36.76096181046676,2.7334625743629206,33789.7924,1.0856584518510477,0.0,169.316602,0,9.75238095238096
72.16,1503.64,3763.5,91.0,0,0,True,False,False,False,False,True,False,False,0.8660254037844387,-0.4999999999999998,20.83758314855876,2.502926232342848,5207.0656,1.0989010989010988,0.0,65.6656,0,8.962796208530818
132.24,1676.65,4388.44,87.5,0,1,False,False,True,False,True,False,False,False,1.0,6.123233995736766e-17,12.67884150030248,2.6173858587063488,17487.4176,1.1428571428571428,132.24,115.71000000000001,0,4.942255319148941
264.09,8174.05,23285.83,74.22,1,0,False,False,False,True,False,False,True,False,-1.0,-1.8369701987210294e-16,30.951758870082173,2.848750619338027,69743.52809999998,1.3473457289140394,0.0,196.00759799999997,0,-8.13761904761904
193.61,7705.56,21396.09,89.47,0,0,False,False,False,True,False,False,True,False,-1.0,-1.8369701987210294e-16,39.79939052734879,2.776707987479171,37484.83210000001,1.1176930814798258,0.0,173.222867,0,7.11238095238096
243.19,11846.75,32033.32,89.81,1,2,False,False,False,True,False,False,False,True,-0.8660254037844386,0.5000000000000001,48.71396850199432,2.703975351889759,59141.3761,1.1134617525887986,486.38,218.408939,2,7.452380952380963
479.8144999999997,16567.54,43762.71,89.88,1,2,False,False,False,True,False,False,False,True,-0.5000000000000004,0.8660254037844384,34.52905237336515,2.6414730249632714,230221.95441024975,1.1125945705384959,959.6289999999995,431.25727259999974,2,7.522380952380956
176.67,7258.74,19062.48,71.3,1,2,False,False,False,True,False,False,False,True,-0.8660254037844384,-0.5000000000000004,41.086432331465446,2.6261417270766,31212.288899999996,1.402524544179523,353.34,125.96570999999999,2,-11.057619047619042
441.93,17429.33,51377.83,79.16,0,0,False,False,False,True,True,False,False,False,-0.5000000000000004,0.8660254037844384,39.43911931753898,2.947779977773098,195302.1249,1.2632642748863063,0.0,349.831788,0,-3.1976190476190425
181.58,4467.77,12027.63,89.95,1,0,True,False,False,False,True,False,False,False,1.2246467991473532e-16,-1.0,24.60496750743474,2.6920879991584163,32971.29640000001,1.111728738187882,0.0,163.33121000000003,0,7.912796208530821
33.06,869.0,2242.6,94.67,0,1,False,True,False,False,False,False,True,False,-0.4999999999999997,-0.8660254037844388,26.285541439806412,2.580667433831991,1092.9636,1.0563008344776592,33.06,31.297902,0,11.015640138408301
333.5,14947.42,41718.84,91.78,1,0,False,False,False,True,False,True,False,False,-0.4999999999999997,-0.8660254037844388,44.81985007496252,2.791039523877699,111222.25,1.0895619960775766,0.0,306.0863,0,9.422380952380962
172.74,4867.43,14170.83,79.14,1,1,True,False,False,False,False,True,False,False,-0.8660254037844384,-0.5000000000000004,28.177781637142527,2.9113577390943473,29839.107600000003,1.2635835228708618,172.74,136.706436,1,-2.897203791469181
134.09,3377.0,9590.71,78.91,0,2,False,True,False,False,True,False,False,False,-2.4492935982947064e-16,1.0,25.184577522559476,2.8400088836245185,17980.1281,1.2672665061462427,268.18,105.810419,0,-4.744359861591704
131.64,3580.38,10247.33,82.4,0,0,True,False,False,False,True,False,False,False,-0.8660254037844386,0.5000000000000001,27.198268003646312,2.8620788854814294,17329.089599999996,1.2135922330097086,0.0,108.47136,0,0.36279620853082406
129.52,1437.19,4194.45,88.26,0,0,False,False,True,False,False,True,False,False,-2.4492935982947064e-16,1.0,11.096278567016677,2.9185076433874433,16775.4304,1.1330160888284613,0.0,114.31435200000001,0,5.7022553191489465
119.56,4142.67,11416.1,81.55,1,2,False,True,False,False,False,False,True,False,-2.4492935982947064e-16,1.0,34.64929742388759,2.755734828021542,14294.5936,1.226241569589209,239.12,97.50118,2,-2.1043598615917034
366.05,14785.37,37002.93,71.11,0,0,False,False,False,True,False,False,True,False,1.2246467991473532e-16,-1.0,40.39166780494468,2.502671897964001,133992.6025,1.4062719729995783,0.0,260.298155,0,-11.24761904761904
40.36,1159.76,2957.64,89.77,0,0,False,True,False,False,True,False,False,False,-2.4492935982947064e-16,1.0,28.735381565906838,2.5502172863351036,1628.9296,1.1139578923916678,0.0,36.231171999999994,0,6.1156401384082955
479.8144999999997,20529.1976,56312.51,90.51,0,1,False,False,False,True,False,False,True,False,0.4999999999999999,-0.8660254037844387,42.785696555648094,2.7430448621138512,230221.95441024975,1.1048502927853276,479.8144999999997,434.2801039499998,0,8.152380952380966
417.58,13078.19,36009.0,79.37,0,1,False,False,False,True,True,False,False,False,0.4999999999999999,-0.8660254037844387,31.319004741606403,2.753362659511752,174373.05639999997,1.2599218848431397,417.58,331.433246,0,-2.9876190476190345
162.94,3842.62,9883.27,94.49,1,2,True,False,False,False,True,False,False,False,0.4999999999999999,-0.8660254037844387,23.583036700625996,2.5720133658805713,26549.4436,1.0583130489998942,325.88,153.962006,2,12.452796208530813
336.53,15596.39,42180.94,72.59,0,0,False,False,False,True,True,False,False,False,0.4999999999999999,0.8660254037844387,46.34472409592013,2.7045322667617318,113252.44089999999,1.3776002204160354,0.0,244.28712699999997,0,-9.767619047619036
112.35,2928.31,7878.63,84.84,1,2,True,False,False,False,False,False,False,True,-0.4999999999999997,-0.8660254037844388,26.06417445482866,2.690504079144626,12622.5225,1.1786892975011787,224.7,95.31774,2,2.802796208530822
98.02,2541.75,6967.32,76.45,1,0,False,True,False,False,False,False,True,False,-0.5000000000000004,0.8660254037844384,25.9309324627627,2.7411507819415757,9607.920399999999,1.3080444735120993,0.0,74.93629,0,-7.204359861591698
170.59,5613.51,15671.15,71.35,1,2,False,False,False,True,False,False,False,True,-1.0,-1.8369701987210294e-16,32.906442347148136,2.791684703509925,29100.9481,1.401541695865452,341.18,121.71596499999998,2,-11.007619047619045
137.41,4274.53,11420.42,83.64,0,0,False,True,False,False,False,False,False,True,-0.8660254037844384,-0.5000000000000004,31.107852412488175,2.671737009682936,18881.5081,1.1956001912960306,0.0,114.92972400000001,0,-0.014359861591699996
161.99,3592.01,10431.57,70.83,0,1,True,False,False,False,False,True,False,False,0.8660254037844386,0.5000000000000001,22.174270016667695,2.904103830445906,26240.760100000003,1.4118311449950587,161.99,114.737517,0,-11.207203791469183
59.55,1535.99,4051.51,89.63,1,2,False,True,False,False,False,False,True,False,0.4999999999999999,0.8660254037844387,25.79328295549958,2.6377189955663773,3546.2025,1.1156978690170702,119.1,53.37466499999999,2,5.975640138408295
81.84,3055.6,8005.1,93.35,1,1,False,False,False,True,False,True,False,False,-0.8660254037844384,-0.5000000000000004,37.33626588465298,2.6198128027228695,6697.7856,1.0712372790573113,81.84,76.39764000000001,1,10.992380952380955
93.19,2257.04,6143.2,77.69,0,2,True,False,False,False,True,False,False,False,-1.0,-1.8369701987210294e-16,24.21976606932074,2.7217949172367346,8684.3761,1.2871669455528383,186.38,72.399311,0,-4.347203791469184
80.42,2590.63,7296.06,90.73,0,1,False,True,False,False,False,False,True,False,0.8660254037844386,0.5000000000000001,32.21375279781149,2.816326530612245,6467.3764,1.1021712774165104,80.42,72.96506600000001,0,7.075640138408303
26.53,676.37,1862.64,80.25,0,2,False,True,False,False,False,False,True,False,0.8660254037844386,0.5000000000000001,25.494534489257443,2.753877315670417,703.8409,1.2461059190031152,53.06,21.290325,0,-3.4043598615917006
289.84,10465.89,28625.09,82.11,0,2,False,False,False,True,True,False,False,False,1.0,6.123233995736766e-17,36.10919817830527,2.7350841638885943,84007.22559999999,1.2178784557301183,579.68,237.98762399999995,0,-0.24761904761903963
